"text","text_part","chapter_n","author"
"Звери в клетках Zоо не выглядят слишком несчастными. 
Они даже родят детенышей. 
Львят выращивали кормилицы-собаки, и львята не знали о своем высоком происхождении. 
День и ночь мечутся в клетках гиены. 
Все четыре лапы гиены поставлены у нее как-то очень близко к тазу. 
Скучают взрослые львы. 
Тигры ходят вдоль прутьев клетки. 
Шуршат своей кожей слоны. 
Очень красивы ламы. У них теплое, шерстяное платье и голова легкая. Похожи на тебя. 
На зиму все закрыто. 
С точки зрения зверей это не большая перемена.  
Остался аквариум. 
В голубой воде, освещенной электричеством и похожей на лимонад, плавают рыбы. А за некоторыми стеклами совсем страшно. Сидит деревцо с белыми ветками и тихо шевелит ими. Зачем было создавать в мире такую тоску? Человекообразную обезьяну не продали, а поместили в верхнем этаже аквариума. Ты сильно занята, так сильно занята, что у меня все время теперь свободно. Хожу в аквариум. 
Он не нужен мне. Zoо пригодилось бы мне для параллелизмов. 
Обезьяна, Аля, приблизительно моего роста, но шире в плечах, сгорблена и длиннорука. Не выглядит, что она сидит в клетке. 
Несмотря на шерсть и нос, как будто сломанный, она производит на меня впечатление арестанта. 
И клетка — не клетка, а тюрьма. 
Клетка двойная, а между решетками, не помню, ходит или не ходит часовой? Скучает обезьян (он мужчина) целый день. В три ему дают есть. Он ест с тарелки. Иногда после этого он занимается скучным обезьяньим делом. Обидно и стыдно это. К нему относишься как к человеку, а он бесстыден. 
В остальное время лазит обезьян по клетке, косясь на публику. Сомневаюсь, имеем ли мы право держать этого своего дальнего родственника без суда в тюрьме. И где его консул? 
Скучает небось обезьян без дела. Люди ему кажутся злыми духами. И целый день скучает этот бедный иностранец во внутреннем Zоо. 
Для него не выпускают даже газеты. 
Р.S. Обезьян умер. ","текст письма",6,"Виктор"
"ПИСЬМО СЕДЬМОЕ","номер письма",7,"Аля"
"с благодарностью за цветы, присланные с письмом. Это третье Алино письмо.","содержание письма",7,"Аля"
"И пишу тебе письмо. Милый татарчонок, спасибо за цветы. 
Комната вся надушена и продушена, спать не шла, так было жалко от них уйти. 
В этой нелепой комнате с колоннами, оружием, совой я чувствую себя дома. 
Мне принадлежит в ней тепло, запах и тишина. 
Я унесу их, как отражение в зеркале; уйдешь — и нет их, вернулась, взглянула — они опять тут. 
И не веришь, что только тобою они живут в зеркале. 
Больше всего мне сейчас хочется, чтобы было лето, чтобы всего, что было, — не было. 
Чтобы я была молодая и крепкая. 
Тогда бы из смеси крокодила с ребенком остался бы только ребенок, и я была бы счастлива. 
Я не роковая женщина, я — Аля, розовая и пухлая. 
Вот и все. 
Целую, сплю. 
Аля","текст письма",7,"Аля"
"ПИСЬМО ВОСЬМОЕ","номер письма",8,"Виктор"
"О трех делах, мне порученных, о вопросе «любишь?», о моем разводящем, о том, как сделан Дон-Кихот; потом письмо переходит в речь о великом русском писателе и кончается мыслью о сроке моей службы.","содержание письма",8,"Виктор"
"Ты дала мне два дела: 
1) не звонить к тебе, 2) не видеть тебя. 
И теперь я занятой человек. 
Есть еще третье дело: не думать о тебе. Но его ты мне не поручала. 
Ты сама иногда спрашиваешь меня: «любишь?» 
Тогда я знаю, что происходит поверка постов. Отвечаю с прилежанием солдата инженерных войск, плохо знающего гарнизонный устав: 
 «Пост номер третий, номер не знаю наверное, место поста — у телефона и на улицах от Gedächtniskirche до мостов на Jorckstrasse, не дальше. Обязанности: любить, не встречаться, не писать писем. И помнить, как сделан Дон-Кихот». 
Дон-Кихот сделан в тюрьме по ошибке. Пародийный герой был использован Сервантесом не только для совершения карикатурных подвигов, но и для произнесения мудрых речей. Сама знаешь, господин разводящий, что нужно куда-нибудь послать свои письма. Дон-Кихот получил мудрость в подарок, больше некому было быть мудрым в романе; от сочетания мудрости и безумия родился тип Дон-Кихота. 
Многое я мог бы еще рассказать, но вижу чуть скругленную спину и концы маленького собольего палантина. Ты надеваешь его так, чтобы закрыть горло. 
Я не могу уйти, оставить пост. 
Разводящий уходит легко и быстро, изредка останавливаясь у магазинов. 
Смотрит сквозь стекло на туфли с острыми носками, на длинные дамские перчатки, на черные шелковые рубашки с белой каемкой, как дети смотрят сквозь стекло магазина на большую красивую куклу. 
Я так смотрю на Алю. 
Солнце встает все выше и выше, как у Сервантеса: «оно растопило бы мозги бедного гидальго, если бы они у него были». 
Солнце стоит у меня над головой. 
А я не боюсь, я знаю, как сделать Дон-Кихота. 
Он крепко сделан. 
Смеяться же будет тот, кто всех сильней. 
Книга будет смеяться. 
И вот, пока я держу свой пост у телефона и трогаю его рукой, как кошка лапой слишком горячее молоко, вставлю в своего Дон-Кихота еще одну мудрую речь. По Берлину ходит большой человек. Я знаком с ним, несколько раз даже обменивался с ним по ошибке кашне. 
Когда он говорит, то совершенно неожиданно переходит от спокойного голоса к шаманскому воплю. 
Такого шамана раз привезли в Москву, в Исторический музей. Имея за собой вековую шаманскую культуру, шаман не смутился. Взял бубен и шаманил перед профессорами, видел духов и упал в экстазе. 
А потом уехал в Сибирь шаманить уже не при профессорах. 
В человеке, о котором я говорю, экстаз живет как на квартире, а не на даче. И в углу комнаты лежит, в кожаный чемодан завязанный, вихрь. 
Фамилия его Андрей Белый. 
В миру —  Борис Николаевич Бугаев.  
Профессорский сын. 
Уэллс всегда описывает жизнь так, что видно, как вещи руководят человеком. 
Вещи переродили человека, машина особенно. 
Человек сейчас умеет только их заводить, а там они идут дальше сами. Идут, идут и давят человека. 
С наукой дело обстоит совсем серьезно. 
Необходимость разума и необходимость в природе разошлись. 
Был верх и низ, было время, была материя. 
Сейчас ничего нет. В мире царит метод. 
Человек придумал метод. 
М е т о д.
Метод ушел из дому и начал жить сам. 
 «Пища богов» найдена, но мы ее не едим. 
Вещи и самые сложные из всех вещей —  науки —  ходят по земле. 
Как заставить их работать на нас? 
И нужно ли?
Будем лучше строить бесполезные и необозримые, но новые вещи. 
В искусстве метод тоже ходит отдельно. 
Человек, пишущий большую вещь, —  как шофер на трехсотсильной машине, которая как будто сама тащит его на стену. Про такие машины говорят шоферы: «Она тебя разнесет». 
Много раз смотрел я на Андрея Белого —  Бориса Бугаева —  и думал, что он почти робкий, предупредительно согласный со всем человек. 
Вокруг темного лица седыми кажутся полуседые волосы. Тело, очевидно, крепкое. Видишь, как рукава заполнены руками. 
Глаза прорезаны с угловатостью. 
Метод Андрея Белого —  очень сильный, непонятный для него самого. 
Начал писать Андрей Белый, я думаю, шутя. 
Шуткой была и «Симфония». 
Слова были поставлены рядом со словами, но не по-обычному художник увидел их. Отпала шутка, возник метод. 
Наконец, он нашел даже имя для мотивировки. 
Имя это —  антропософия. 
Антропософия —  вещь небольшая и созданная для сведения концов. 
При Екатерине строили Исаакиевский собор, а при Павле свели своды кирпичом, не считаясь с пропорциями. 
Только чтобы не беспокоиться. 
И знать —  собор кончен. 
Сейчас любителей загибать параллельные линии и сводить концы с концами очень много. 
Антропософия —  очень неподходящее слово для сегодняшнего дня. 
Силовые линии пересекаются сейчас не в нас. 
Построение нового мира даже скорее сейчас зрелище для нас, чем наше дело. 
В ступенчатых «Записках чудака», в которых разум поэта-прозаика бродит и стремится, но не видит, в неудачном, но очень значительном «Котике Летаеве» Андрей Белый создает несколько плоскостей. Одна крепка, почти реальна, другие ходят по ней и являются как бы ее тенями, причем источников света много, но кажется, что вот те многие плоскости реальны, а эта крайняя случайна. Реальности души нет ни в той, ни в других, есть метод, способ располагать вещи рядами. 
Вот мудрая речь, которой я занимаю себя на посту. Стою, скучаю, как молодой солдат, считаю прохожих. Ласковыми словами уговариваю себя: 
—  Потерпи, думай о чем-нибудь другом, о других больших и несчастных людях. А в любви нет обиды. И завтра, может быть, опять придет разводящий. 
А срок моего караула? 
Срока нет —  я попал вдоль службы. ","текст письма",8,"Виктор"
"ПИСЬМО ДЕВЯТОЕ","номер письма",9,"Виктор"
"Об одном берлинском наводнении; по существу дела все письмо представляет собою реализацию метафоры: в нем автор пытается быть легким и веселым, но я наверное знаю, что в следующем письме он сорвется.","содержание письма",9,"Виктор"
"Какой ветер, Алик! Какой ветер! 
В такой ветер в Питере вода прибывает, Алик. 
В эти дни бьют в Петропавловской крепости каждые четверть часа куранты, но никто их не слушает. 
Считают пушки. 
Пушки стреляют. Раз. Раз, два. Раз, два, три…
Одиннадцать раз. 
Наводнение. 
Теплый ветер, прорываясь к Питеру, несет к нему по Неве воду. 
Я рад. А вода все прибывает. А ветер на улице, Алик, мой ветер, весенний наш, питерский! 
Вода на прибыли. 
Она затопила весь Берлин, и поезд унтергрунда всплыл в туннеле дохлым угрем, вверх брюхом. 
Она вымыла из аквариума всех рыб и крокодилов. 
Крокодилы плывут, не проснулись, только скулят, что холодно, а вода поднимается по лестнице. 
Одиннадцать футов. Она у тебя в комнате. В Алину комнату вода входит тихо: на лестнице воде негде раскачаться. Но в комнате воду встречают Алины туфли. Дальше — пьеса. 
Туфли. Зачем вы пришли? Алик спит! (Они тебя тоже любят.) 
Вода (тихим голосом). Одиннадцать футов, госпожи туфли! Берлин весь всплыл вверх брюхом, одни тысячемарковые бумажки видны на волнах. Мы — реализации метафоры. Скажите Але, что она снова на острове, ее дом опоясан Опоязом. 
Туфли. Не шутите! Аля спит. Глупая высокая вода! Аля устала. Але нужны не цветы, а запах цветов. Але от любви нужен только запах любви и нежность. Больше ничем нельзя грузить ее плечи. 
Вода. О госпожи мои Алины туфли! Одиннадцать футов. Вода на прибыли. Пушки стреляют. Теплый ветер прорывается сюда и не пускает нас в море. Теплый ветер настоящей любви. Одиннадцать футов. Ветер так силен, что деревья лежат на земле. 
Туфли. О вода на чужую мельницу. Нехорошо пользоваться в любви правом сильного! 
Вода. Правом сильной любви? 
Туфли. Даже правом сильной любви. Да. Не мучь ее силой. Ей не нужна даже жизнь. Она, моя Алик, любит танец за то, что это тень любви. Люби Алю, а не свою любовь. 
И вода уходит назад, тяжело таща по полу портфель с корректурами. Когда вода уходит, туфли говорят одна другой: 
— Ох уж эти мне литераторы! 
Туфли не злые, но их пара, а две женщины, стоя рядом друг с другом так долго, не могут не сплетничать. 
Это письмо я написал и переписал. Теперь я буду в честь твою все переписывать. 
Так бог зарегистрировал радугу в честь «Всемирного потопа». ","текст письма",9,"Виктор"
"ПИСЬМО ДЕСЯТОЕ","номер письма",10,"Виктор"
"О женщине, выбирающей платье, и о вещах, имеющих руки. Тут записано одно недоразумение с фраками. Но главное содержание письма — это рассказ о том, как раз в шляпе Петра Богатырева завелась керенка, как он умел не плакать в Москве и как заплакал в пражском ресторане.","содержание письма",10,"Виктор"
"Итак, я пишу о чужой культуре и чужой женщине.
Женщина, может быть, и не совсем чужая. 
Я не жалуюсь на тебя, Аля. Только ты — очень женщина. 
Ты говоришь: «Когда очень долго хочется какого-нибудь платья, то потом не стоит и покупать — как будто поносила и сносила наизусть». 
В магазине же женщина, несомненно, флиртует с вещами, ей все нравится. 
Психология это европейская. 
Конечно, сама вещь виновата, если она не умеет становиться любимой. 
Особенно вещи, имеющие руки. 
Но каждый солдат в своем ранце носит свое поражение. 
На поле битвы, убитый, он только узнает свою судьбу. 
Мы не умеем быть легкими. 
Жена Ивана Грекова, знаменитого хирурга, обиделась на меня и Мишу Слонимского за то, что мы пришли к ней на вечер во френчах и валенках. Остальные были во фраках. 
Разгадка нашей невежливости была простая: у тех были старые фраки: фрак долго не стареет и может пережить революцию. А мы фраков никогда не носили. Носили сперва гимназические и студенческие пальто, а потом солдатские шинели и френчи, перешитые из этих шинелей. Мы не знали иного быта, кроме быта войны и революции. Она может нас обидеть, но мы из нее уйти не сможем. 
Магазинная психология нам чужда, мы привыкли к немногим вещам, лишнее отдаем или продаем. Наши жены носили мешки, и размер ноги у них увеличивался на один номер. 
Европа нас разбивает, мы горячимся в ней и принимаем все всерьез. Ты знаешь белокурого Петра Богатырева. Глаза у него голубые, рост маленький, брюки короткие; брюки бывают особенно коротки у коротконогих. Ботинки Богатырева не зашнурованы. 
По улицам он то идет медленно на цыпочках, то бегает наискось зайцем, — не говорит, а галдит. 
Этот эксцентрик родился в семье цехового, в селе Покровском, на Волге. За умение хорошо декламировать попал в гимназию. Кончил. Пошел в университет филологом и здесь занялся теорией анекдотов. 
Пишет Богатырев много и потом теряет рукописи. 
В голодной Москве Богатырев не знал, что он живет плохо. Жил, писал, халтурил, как и все, но не злобно. 
Шел Богатырев вечером по сугробам Москвы из театра домой, устал, снял шапку, вытирает лоб. 
И вдруг в шляпе завелась керенка. 
Оглянулся, видит — какой-то военспец уходит. 
Погнался. 
— Товарищ, мне не нужно. 
— Да вы не стесняйтесь, возьмите. 
Богатырев не взял, но не обиделся. 
Никто нас не может обидеть, потому что мы работаем. 
Никто нас не может сделать смешными, потому что мы работаем. 
Никто нас не может сделать смешными, потому что мы знаем свою цену. 
А нашу любовь, любовь людей, никогда не носивших фраков, никто из женщин, не носивших вместе с нами тяжесть нашей жизни, не может понять. 
Богатырев читал по институтам, собирая революционный фольклор, дружил с Романом Якобсоном. 
Когда Роман уехал в Прагу, он6 выписал к себе Богатырева. 
Приехал Богатырев, брюки короткие, ботинки не зашнурованы, в чемодане одни рукописи т рваные бумаги, и все спутано так, что нельзя сказать, где исследование и где штаны. 
Покупал Богатырев сахар, держал его в карманах и ел, одним словом, пытался удержать русский быт. 
Но Роман, со своими узкими ногами, рыжей и голубоглазой головой, любил Европу. 
Он похож действительно на твоего брата. 
Роман повел Богатырева в ресторан: сидел Петр среди неисцарапанных стен, среди разной еды, вин, женщин. Заплакал. 
Он не выдержал. Нас размораживает этот быт. 
Нам этого не нужно. Впрочем, для создания параллелизмов годится все. 
Петр написал книжку «Чешский кукольный и русский народный театр», потом приехал в Берлин, а я издал эту книжку, потому что ты так занята, что у меня много свободного времени. И еще потому, что я умею работать. 
Богатырев же сшил себе три костюма, ходит же в каком-то четвертом, — очевидно национальном, московском. 
Сейчас он выдерживает даже «Прагер-Диле». 
А заплакал он не из сентиментальности, а так, как плачет стекло в комнате, которую затопили после долгого промежутка. ","текст письма",10,"Виктор"
"ПИСЬМО ОДИННАДЦАТОЕ","номер письма",11,"Виктор"
"Оно написано, очевидно, в ответ на замечание, — сделанное, вероятно, по телефону, так как в деле не сохранилось никаких письменных следов его, — относительно манеры есть и содержит в себе также отрицание факта необходимости носить брюки со складкой. Все письмо снабжено библейскими параллелями.","содержание письма",11,"Виктор"
"Клянусь тебе — брюки не должны иметь складки. 
Брюки носят, чтобы не было холодно. 
Спроси у Серапионов. 
Наклоняться над пищей, может быть, и в самом деле нехорошо. 
Ты говоришь о нас, что мы не умеем есть. 
Мы слишком низко наклоняемся к тарелкам, а не несем пищу к себе. 
Что же, будем удивляться друг на друга. 
Многое для меня удивительно в этой стране, где брюки должны иметь спереди складку; те, кто бедней, кладут на ночь брюки свои под матрац. 
В русской литературе этот способ известен, он применяется — у Куприна — профессиональными нищими из благородных. 
Сердит меня здешний быт! 
Так сердился Левин («Анна Каренина»), когда увидал, что в доме варят варенья не по левинскому способу, а по способу семьи Кити. 
Когда судья Гедеон собирал партизанский отряд для нападения на филистимлян, то он прежде всего отправил домой всех семейных. 
Потом ангел божий велел привести всех оставшихся воинов к реке и взять в бой только тех, кто пьет воду из горсти, а не наклоняется к ней и не лакает, как собака. 
Неужели мы плохие воины? 
Ведь, кажется, когда здесь рушится все, рушится скоро, это мы уйдем по двое с винтовками за плечами, с патронами в карманах штанов (без складки), уйдем, отстреливаясь из-за заборов от кавалерии, обратно в Россию. 
Но над тарелками лучше не наклоняться. 
Страшен суд судом Гедеона! Что, если он не возьмет нас в свое войско! 
Библия любопытно повторяется. 
Однажды разбили евреи филистимлян. Те бежали, бежали по двое, спасаясь, через реку. 
Евреи поставили у брода патрули. 
Филистимлянина от еврея тогда было отличить трудно: и те и другие, вероятно, были голые. 
Патруль спрашивал пробегавших: «Скажи слово шабелес». 
Но филистимляне не умели говорить «ш», они говорили «сабелес». 
Тогда их убивали. 
На Украине видал я раз мальчика-еврея. Он не мог без дрожи смотреть на кукурузу. 
Рассказал мне: 
Когда на Украине убивали, то часто нужно было проверить, еврей ли убиваемый. 
Ему говорили: «Скажи кукуруза». 
Еврей иногда говорил: «кукуружа». 
Его убивали. ","текст письма",11,"Виктор"
"ПИСЬМО ДВЕНАДЦАТОЕ,","номер письма",12,"Виктор"
"написанное между шестью и десятью часами утра. Изобилие времени сделало письмо длинным. В нем три части. Важно же в нем только упоминание о том, что женщины в берлинском ночном притоне умеют держать вилку.","содержание письма",12,"Виктор"
"Шесть часов утра. 
За окном, на Kaiserallee, еще темно. 
К тебе позвонить можно в половине одиннадцатого. 
Четыре с половиной часа, а потом еще двадцать пустых часов, между ними твой голос. 
Постыла мне моя комната. Не мил мне мой письменный стол, на котором я пишу письма только тебе. 
Сижу влюбленный, как телеграфист. 
Хорошо было бы завести гитару и петь. ","текст письма",12,"Виктор"
"
Поговори хоть ты со мной,
Подруга семиструнная,
Душа полна такой тоской,
А ночь такая лунная.","текст письма",12,"Виктор"
"Нужно писать халтуру. Рекламную фильму для мотоциклеток. 
Мысли о тебе, о мотоциклетке, об автомобиле путаются в моей голове. 
Буду писать письмо. Фильма подождет. 
Я пишу тебе каждую ночь, рву потом и бросаю в корзину. Письма оживают, срастаются, и я их снова пишу. 
Ты получаешь все, что я написал. 
В твоей корзинке для сломанных игрушек первый тот, который подарил тебе, прощаясь, красные цветы. Ты позвонила к нему и поблагодарила; и тот, кто подарил тебе янтарный амулет, и тот, от которого ты радостно приняла из стальной проволоки сплетенную маленькую дамскую сумочку. 
Твоя повадка однообразна: веселая встреча, цветы, любовь мужчины, которая всегда запаздывает, как всасывание свежего газа в цилиндр автомобиля. 
Мужчина начинает любить через день после того, как он сказал «люблю». 
Поэтому не нужно говорить этого слова. 
Любовь все растет, человек загорается, а тебе уже разонравилось. 
В технике автомобиля это зовется опережением выпуска. 
Только я, разорванный как письмо, все вылезаю из корзинки для твоих сломанных игрушек. Я переживу еще десяток твоих увлечений, днем ты разрываешь меня, а ночью я оживаю, как письма. 
Вот еще нет утра, а я уже на страже. 
Окно на улицу открыто. 
Автомобили тоже проснулись или еще не легли спать. 
Аль, Аль, Эль, — кричат они: им хочется выговорить твое имя. 
Сижу в комнате моей болезни, думаю о тебе, об автомобилях. Так смешней. 
Ты повернула мою жизнь, как червячный винт шестеренку. 
Шестеренка же не может повернуть руля. В технике это называется: необратимая передача. Необратима моя судьба. 
Только время, как поют в одесской блатной песне, придуманной Лившицем, принадлежит мне: я могу делить ожидание на часы, на минуты, могу считать их. Жду, жду. Жалко, нет гитары. 
Чего бы мне ждать? Буду ждать солнца. Солнце встанет часов в восемь. Осветит Kaiserallee, и улица станет похожа па Каменноостровский проспект. 
На Каменноостровском в Петербурге стояла та гимназия, которую я окончил. 
Год был какой-нибудь, но, кажется, 1913-й. Мы были абитуриентами гимназии. Мы сильно хотели кончить гимназию и выкатиться на улицу, кувыркаясь как деревянный обруч. 
Воздух был наполнен желаниями, они плыли над Каменноостровским, перьями, крыльями. Облака были перистые. 
Мы хотели скорее поймать жизнь. Но слов не знали, думали, что женщину можно взять, как вещь за ручки. 
Горячими или холодными руками хватались за жизнь. 
Хотели узнать любовь под разными номерами. Перерезали на гимназических вечерах провода, а если заболевали серьезно, то охотно стрелялись, как будто хотели узнать еще один номер. К этим смертям была привычка. Мы были morituri, что значит долженствующие умереть. 
Morituri хотели только попробовать еще один номер. 
Нет, лучше сидеть в комнате, не спать в шесть часов утра, в семь пойти на базар за цветами. Лучше всю жизнь прожить под гитару. 
Странные в Берлине притоны. Попал я в Nachtlokal. 
Комната обыкновенная, на стенах висят фотографии. 
Пахнет кухней. Пианино играет заглушенно. Скрипач пиликает на странной скрипке с вырезанными насквозь деками. Публика молчаливо пьяна. Выходит голая женщина в черных чулках и танцует, неумело разводя руками; потом выходит другая, без чулок. 
Не знал, кто сидит в комнате кроме нас. Скрипач обходит столики, собирает деньги. Подходит к сидящему в углу мрачно пьяному человеку. Тот говорит ему что-то. 
Скрипач берет свою безгрудую скрипку, и в воздухе повисает тоненькая-тоненькая «Боже, царя храни». Давно я не слыхал этого гимна. 
Женщина станцевала свое, надела готовое, довольно нарядное платье и сидит за соседним столиком, ест что-то. 
— Смотри, она умеет держать даже вилку, — сказал мне Богатырев. Умение есть было у нас модным вопросом. 
Пошли домой. В передней подает пальто какая-то женщина. Отдавая номерок, всматриваюсь ей в лицо. Это она сейчас танцевала в чулках. Все устроено очень портативно и, вероятно, на семейных началах. Разврата же, по всей вероятности, нет. Есть люди со словами и без слов. Люди со словами не уходят, и, поверь мне, я счастливо прожил свою жизнь. 
Без слов нельзя ничего достать со дна. 
Светлеет, мне незачем кончать писать. Время принадлежит мне. Лившиц прав. 
На части расползлось мое бессонное письмо. Свяжем, прежде чем порвать. 
В богумильской легенде бог хочет достать песок со дна моря. 
Но бог не хочет нырять под воду. Он посылает черта и наказывает ему: «Когда будешь брать, говори — не я беру, а бог берет». 
Нырнул черт на самое дно, докрутился до дна, схватился за песок и говорит: «Не бог берет, а я беру». 
Самолюбивый черт.
Не дается песок. Выплыл черт синим. 
Опять посылает его бог в воду. 
Доплыл черт до дна, скребет песок когтями, говорит: 
 «Не бог берет — я беру». 
Не дается песок. Выплыл черт, задыхаясь. В третий раз посылает его бог в воду. 
В сказке все делается до трех раз. 
Видит черт — податься ему некуда. 
Не захотел он портить сюжета. Заплакал, может быть, и нырнул. Доплыл до дна и сказал: «Не я беру, — бог берет». Взял песок и выплыл. А бог из песка, взятого со дна чертом по божьему повелению, создал человека. 
Расхотелось дальше писать. Не нужны мне письма. Не нужна мне гитара. И мне все равно, похожа или не похожа моя любовь на необратимую передачу. 
Мне все равно. Я знаю: ты не положишь даже моего письма в коробку на правой стороне твоего стола. ","текст письма",12,"Виктор"
"ПИСЬМО ТРИНАДЦАТОЕ","номер письма",13,"Виктор"
"Оно написано в Россию; из него ясно, что автор страдает навязчивой идеей. В письме говорится о том, как трудно даже после открытия Эйнштейна жить, не занимая ни времени, ни пространства. Кончается письмо выражением негодования на неправильность употребления местоимения «мы» в Берлине.","содержание письма",13,"Виктор"
"Дорогие друзья, почему вы так мало пишете мне? 
Неужели вынули вы меня из своего сердца? 
Спасите меня от людей-теней, от людей, выпряженных из оглобель, от ржавчины, от всей жизни, которая говорит мне одно: 
 «Живи, но не занимай у меня ни времени, ни места». 
И еще говорит: 
 «Вот тебе день и вот тебе ночь, а ты живи в промежутках. Только утром и вечером не приходи». 
Друзья мои, братья! До чего неправильно, что я здесь! 
Идите все на улицу, на Невский, просите, требуйте, чтобы мне разрешили вернуться. 
Во избежание неприятностей, можно ехать по Невскому в трамвае. 
А сами держитесь за землю, друзья. 
Я связан с Берлином, но если бы мне сказали: «Можешь вернуться», — я, клянусь Опоязом, пошел бы домой, не обернувшись, не взявши рукописей. Не позвонив по телефону. 
Мне запретили звонить. 
Что вы пишете сейчас? 
Починен ли провал мостовой на Морской, против Дома искусства? 
Лучше мертвым лечь в эту яму, чтобы исправить дорогу для русских грузовых автомобилей, чем жить бесполезно. 
А автомобилей в Петербурге много? 
Как издаетесь вы? 
Мы издаем довольно много. 
Только здесь «мы» — смешное слово. 
Одна женщина звонила мне по телефону. Я был болен. 
Поговорили. Сказал, что сижу дома. 
А она мне говорит, уже вешая трубку: 
«Мы сегодня идем в театр». 
Так как я только что с ней говорил, то не понял: 
«Кто же мы? Я болен». 
До чего неверно! Мы — это я и еще кто-нибудь. 
В России «мы» крепче. ","текст письма",13,"Виктор"
